"","sample","ril","trt","rep","group"
"1","RIL_103_CR_Rep2.fq.gz.bam","103","CR","2","103_CR"
"2","RIL_103_CR_Rep4.fq.gz.bam","103","CR","4","103_CR"
"3","RIL_103_CR_Rep5.fq.gz.bam","103","CR","5","103_CR"
"4","RIL_103_UN_Rep1.fq.gz.bam","103","UN","1","103_UN"
"5","RIL_103_UN_Rep2.fq.gz.bam","103","UN","2","103_UN"
"6","RIL_103_UN_Rep3.fq.gz.bam","103","UN","3","103_UN"
"7","RIL_104_CR_Rep2.fq.gz.bam","104","CR","2","104_CR"
"8","RIL_104_CR_Rep3.fq.gz.bam","104","CR","3","104_CR"
"9","RIL_104_CR_Rep5.fq.gz.bam","104","CR","5","104_CR"
"10","RIL_104_UN_Rep2.fq.gz.bam","104","UN","2","104_UN"
"11","RIL_104_UN_Rep4.fq.gz.bam","104","UN","4","104_UN"
"12","RIL_104_UN_Rep5.fq.gz.bam","104","UN","5","104_UN"
"13","RIL_113_CR_Rep1.fq.gz.bam","113","CR","1","113_CR"
"14","RIL_113_CR_Rep3.fq.gz.bam","113","CR","3","113_CR"
"15","RIL_113_CR_Rep5.fq.gz.bam","113","CR","5","113_CR"
"16","RIL_113_UN_Rep1.fq.gz.bam","113","UN","1","113_UN"
"17","RIL_113_UN_Rep2.fq.gz.bam","113","UN","2","113_UN"
"18","RIL_113_UN_Rep3.fq.gz.bam","113","UN","3","113_UN"
"19","RIL_113_UN_Rep4.fq.gz.bam","113","UN","4","113_UN"
"20","RIL_113_UN_Rep5.fq.gz.bam","113","UN","5","113_UN"
"21","RIL_115_CR_Rep1.fq.gz.bam","115","CR","1","115_CR"
"22","RIL_115_CR_Rep2.fq.gz.bam","115","CR","2","115_CR"
"23","RIL_115_CR_Rep5.fq.gz.bam","115","CR","5","115_CR"
"24","RIL_115_UN_Rep1.fq.gz.bam","115","UN","1","115_UN"
"25","RIL_115_UN_Rep2.fq.gz.bam","115","UN","2","115_UN"
"26","RIL_115_UN_Rep3.fq.gz.bam","115","UN","3","115_UN"
"27","RIL_123_CR_Rep1.fq.gz.bam","123","CR","1","123_CR"
"28","RIL_123_CR_Rep3.fq.gz.bam","123","CR","3","123_CR"
"29","RIL_123_CR_Rep4.fq.gz.bam","123","CR","4","123_CR"
"30","RIL_123_UN_Rep1.fq.gz.bam","123","UN","1","123_UN"
"31","RIL_123_UN_Rep2.fq.gz.bam","123","UN","2","123_UN"
"32","RIL_124_CR_Rep2.fq.gz.bam","124","CR","2","124_CR"
"33","RIL_124_CR_Rep5.fq.gz.bam","124","CR","5","124_CR"
"34","RIL_124_UN_Rep1.fq.gz.bam","124","UN","1","124_UN"
"35","RIL_124_UN_Rep3.fq.gz.bam","124","UN","3","124_UN"
"36","RIL_124_UN_Rep5.fq.gz.bam","124","UN","5","124_UN"
"37","RIL_12_CR_Rep2.fq.gz.bam","12","CR","2","12_CR"
"38","RIL_12_CR_Rep3.fq.gz.bam","12","CR","3","12_CR"
"39","RIL_12_CR_Rep4.fq.gz.bam","12","CR","4","12_CR"
"40","RIL_12_CR_Rep5.fq.gz.bam","12","CR","5","12_CR"
"41","RIL_12_UN_Rep1.fq.gz.bam","12","UN","1","12_UN"
"42","RIL_12_UN_Rep2.fq.gz.bam","12","UN","2","12_UN"
"43","RIL_12_UN_Rep3.fq.gz.bam","12","UN","3","12_UN"
"44","RIL_12_UN_Rep4.fq.gz.bam","12","UN","4","12_UN"
"45","RIL_12_UN_Rep5.fq.gz.bam","12","UN","5","12_UN"
"46","RIL_131_CR_Rep2.fq.gz.bam","131","CR","2","131_CR"
"47","RIL_131_CR_Rep3.fq.gz.bam","131","CR","3","131_CR"
"48","RIL_131_CR_Rep4.fq.gz.bam","131","CR","4","131_CR"
"49","RIL_131_CR_Rep5.fq.gz.bam","131","CR","5","131_CR"
"50","RIL_131_UN_Rep1.fq.gz.bam","131","UN","1","131_UN"
"51","RIL_131_UN_Rep2.fq.gz.bam","131","UN","2","131_UN"
"52","RIL_136_CR_Rep1.fq.gz.bam","136","CR","1","136_CR"
"53","RIL_136_CR_Rep2.fq.gz.bam","136","CR","2","136_CR"
"54","RIL_136_CR_Rep3.fq.gz.bam","136","CR","3","136_CR"
"55","RIL_136_CR_Rep5.fq.gz.bam","136","CR","5","136_CR"
